3.465, {'ABCD': 0, 'BC': 135, 'DE': 385, 'AB': 345, 'FG': 11, 'EH': 19, 'A': 50461, 'C': 63629, 'B': 18892, 'E': 49594, 'D': 38736, 'G': 62448, 'F': 18889, 'H': 38697, 'EF': 9, 'CF': 79, 'CD': 746, 'EFGH': 0, 'AD': 378, 'GH': 27, 'CDEF': 0, 'ABCDEFGH': 0}
3.535, {'ABCD': 0, 'BC': 126, 'DE': 378, 'AB': 319, 'FG': 12, 'EH': 17, 'A': 49895, 'C': 63710, 'B': 21049, 'E': 49018, 'D': 38877, 'G': 62574, 'F': 21039, 'H': 38845, 'EF': 5, 'CF': 79, 'CD': 739, 'EFGH': 0, 'AD': 363, 'GH': 12, 'CDEF': 0, 'ABCDEFGH': 0}
3.606, {'ABCD': 0, 'BC': 143, 'DE': 410, 'AB': 345, 'FG': 14, 'EH': 17, 'A': 50154, 'C': 64568, 'B': 24017, 'E': 49277, 'D': 39768, 'G': 63336, 'F': 24004, 'H': 39728, 'EF': 15, 'CF': 77, 'CD': 764, 'EFGH': 0, 'AD': 403, 'GH': 26, 'CDEF': 0, 'ABCDEFGH': 0}
3.677, {'ABCD': 0, 'BC': 158, 'DE': 364, 'AB': 421, 'FG': 16, 'EH': 12, 'A': 49308, 'C': 64640, 'B': 26577, 'E': 48405, 'D': 39961, 'G': 63431, 'F': 26564, 'H': 39909, 'EF': 10, 'CF': 101, 'CD': 741, 'EFGH': 0, 'AD': 349, 'GH': 26, 'CDEF': 0, 'ABCDEFGH': 0}
3.747, {'ABCD': 0, 'BC': 146, 'DE': 370, 'AB': 488, 'FG': 9, 'EH': 13, 'A': 49315, 'C': 65604, 'B': 30400, 'E': 48404, 'D': 40723, 'G': 64371, 'F': 30394, 'H': 40685, 'EF': 6, 'CF': 71, 'CD': 765, 'EFGH': 0, 'AD': 352, 'GH': 31, 'CDEF': 0, 'ABCDEFGH': 0}
3.818, {'ABCD': 0, 'BC': 171, 'DE': 329, 'AB': 477, 'FG': 16, 'EH': 20, 'A': 48152, 'C': 65808, 'B': 34224, 'E': 47283, 'D': 41420, 'G': 64488, 'F': 34214, 'H': 41376, 'EF': 25, 'CF': 114, 'CD': 758, 'EFGH': 0, 'AD': 314, 'GH': 22, 'CDEF': 0, 'ABCDEFGH': 0}
3.889, {'ABCD': 0, 'BC': 179, 'DE': 301, 'AB': 537, 'FG': 26, 'EH': 27, 'A': 48888, 'C': 65998, 'B': 37940, 'E': 47988, 'D': 42105, 'G': 64668, 'F': 37926, 'H': 42062, 'EF': 13, 'CF': 102, 'CD': 780, 'EFGH': 0, 'AD': 291, 'GH': 24, 'CDEF': 0, 'ABCDEFGH': 0}
3.960, {'ABCD': 0, 'BC': 210, 'DE': 293, 'AB': 566, 'FG': 24, 'EH': 19, 'A': 48393, 'C': 65857, 'B': 42621, 'E': 47478, 'D': 43172, 'G': 64429, 'F': 42611, 'H': 43109, 'EF': 16, 'CF': 124, 'CD': 780, 'EFGH': 0, 'AD': 287, 'GH': 16, 'CDEF': 0, 'ABCDEFGH': 0}
4.030, {'ABCD': 0, 'BC': 220, 'DE': 265, 'AB': 609, 'FG': 18, 'EH': 20, 'A': 47740, 'C': 66369, 'B': 47460, 'E': 46891, 'D': 43421, 'G': 64894, 'F': 47443, 'H': 43378, 'EF': 25, 'CF': 126, 'CD': 788, 'EFGH': 0, 'AD': 258, 'GH': 25, 'CDEF': 0, 'ABCDEFGH': 0}
4.101, {'ABCD': 0, 'BC': 266, 'DE': 223, 'AB': 675, 'FG': 18, 'EH': 22, 'A': 48186, 'C': 67092, 'B': 52260, 'E': 47309, 'D': 44585, 'G': 65610, 'F': 52239, 'H': 44530, 'EF': 24, 'CF': 136, 'CD': 719, 'EFGH': 0, 'AD': 222, 'GH': 26, 'CDEF': 0, 'ABCDEFGH': 0}
4.172, {'ABCD': 0, 'BC': 302, 'DE': 230, 'AB': 735, 'FG': 26, 'EH': 18, 'A': 48184, 'C': 66854, 'B': 57428, 'E': 47263, 'D': 45810, 'G': 65293, 'F': 57407, 'H': 45751, 'EF': 32, 'CF': 166, 'CD': 767, 'EFGH': 0, 'AD': 222, 'GH': 22, 'CDEF': 0, 'ABCDEFGH': 0}
4.242, {'ABCD': 0, 'BC': 310, 'DE': 234, 'AB': 733, 'FG': 36, 'EH': 17, 'A': 47635, 'C': 67069, 'B': 62881, 'E': 46776, 'D': 46712, 'G': 65485, 'F': 62863, 'H': 46651, 'EF': 18, 'CF': 178, 'CD': 720, 'EFGH': 0, 'AD': 232, 'GH': 24, 'CDEF': 0, 'ABCDEFGH': 0}
4.313, {'ABCD': 0, 'BC': 365, 'DE': 184, 'AB': 768, 'FG': 29, 'EH': 13, 'A': 47453, 'C': 67224, 'B': 68519, 'E': 46558, 'D': 47069, 'G': 65502, 'F': 68491, 'H': 47012, 'EF': 28, 'CF': 197, 'CD': 749, 'EFGH': 0, 'AD': 182, 'GH': 29, 'CDEF': 0, 'ABCDEFGH': 0}
4.384, {'ABCD': 0, 'BC': 368, 'DE': 189, 'AB': 837, 'FG': 40, 'EH': 16, 'A': 47504, 'C': 66491, 'B': 74942, 'E': 46594, 'D': 48560, 'G': 64765, 'F': 74909, 'H': 48498, 'EF': 35, 'CF': 206, 'CD': 709, 'EFGH': 0, 'AD': 183, 'GH': 33, 'CDEF': 0, 'ABCDEFGH': 0}
4.455, {'ABCD': 0, 'BC': 471, 'DE': 196, 'AB': 860, 'FG': 46, 'EH': 11, 'A': 48133, 'C': 67363, 'B': 80247, 'E': 47216, 'D': 50148, 'G': 65580, 'F': 80224, 'H': 50079, 'EF': 28, 'CF': 264, 'CD': 685, 'EFGH': 0, 'AD': 193, 'GH': 37, 'CDEF': 0, 'ABCDEFGH': 0}
4.525, {'ABCD': 0, 'BC': 513, 'DE': 164, 'AB': 940, 'FG': 42, 'EH': 19, 'A': 48590, 'C': 66025, 'B': 86659, 'E': 47594, 'D': 51133, 'G': 64219, 'F': 86613, 'H': 51052, 'EF': 42, 'CF': 291, 'CD': 661, 'EFGH': 0, 'AD': 159, 'GH': 28, 'CDEF': 0, 'ABCDEFGH': 0}
4.596, {'ABCD': 0, 'BC': 543, 'DE': 180, 'AB': 1017, 'FG': 55, 'EH': 21, 'A': 48734, 'C': 66471, 'B': 92778, 'E': 47784, 'D': 51717, 'G': 64613, 'F': 92738, 'H': 51635, 'EF': 43, 'CF': 298, 'CD': 613, 'EFGH': 0, 'AD': 175, 'GH': 27, 'CDEF': 0, 'ABCDEFGH': 0}
4.667, {'ABCD': 0, 'BC': 616, 'DE': 178, 'AB': 1007, 'FG': 62, 'EH': 20, 'A': 49148, 'C': 66093, 'B': 99060, 'E': 48158, 'D': 52736, 'G': 64118, 'F': 99018, 'H': 52664, 'EF': 64, 'CF': 366, 'CD': 631, 'EFGH': 0, 'AD': 171, 'GH': 27, 'CDEF': 0, 'ABCDEFGH': 0}
4.737, {'ABCD': 0, 'BC': 632, 'DE': 138, 'AB': 1039, 'FG': 48, 'EH': 23, 'A': 49458, 'C': 65566, 'B': 104762, 'E': 48366, 'D': 54325, 'G': 63539, 'F': 104708, 'H': 54240, 'EF': 58, 'CF': 320, 'CD': 649, 'EFGH': 0, 'AD': 135, 'GH': 26, 'CDEF': 0, 'ABCDEFGH': 0}
4.808, {'ABCD': 0, 'BC': 684, 'DE': 137, 'AB': 1124, 'FG': 55, 'EH': 23, 'A': 49823, 'C': 64931, 'B': 110823, 'E': 48758, 'D': 54738, 'G': 62908, 'F': 110775, 'H': 54638, 'EF': 41, 'CF': 377, 'CD': 554, 'EFGH': 0, 'AD': 133, 'GH': 31, 'CDEF': 0, 'ABCDEFGH': 0}
4.879, {'ABCD': 0, 'BC': 712, 'DE': 152, 'AB': 1093, 'FG': 54, 'EH': 23, 'A': 50464, 'C': 64393, 'B': 116227, 'E': 49400, 'D': 55180, 'G': 62338, 'F': 116154, 'H': 55092, 'EF': 66, 'CF': 387, 'CD': 543, 'EFGH': 0, 'AD': 154, 'GH': 33, 'CDEF': 0, 'ABCDEFGH': 0}
4.949, {'ABCD': 0, 'BC': 770, 'DE': 168, 'AB': 1173, 'FG': 68, 'EH': 22, 'A': 51376, 'C': 63695, 'B': 121301, 'E': 50265, 'D': 56844, 'G': 61578, 'F': 121236, 'H': 56752, 'EF': 62, 'CF': 428, 'CD': 540, 'EFGH': 0, 'AD': 165, 'GH': 32, 'CDEF': 0, 'ABCDEFGH': 0}
5.020, {'ABCD': 0, 'BC': 818, 'DE': 194, 'AB': 1165, 'FG': 72, 'EH': 24, 'A': 52437, 'C': 62914, 'B': 125301, 'E': 51235, 'D': 57604, 'G': 60715, 'F': 125250, 'H': 57503, 'EF': 72, 'CF': 428, 'CD': 521, 'EFGH': 0, 'AD': 183, 'GH': 30, 'CDEF': 0, 'ABCDEFGH': 0}
